ZIP,EV Network,Latitude,Longitude
12901,Non-Networked,44.695363,-73.492162
13904,Tesla Destination,42.103472,-75.892293
12180,ChargePoint Network,42.731644,-73.679579
14150,ChargePoint Network,43.02254,-78.82616
14020,Non-Networked,43.004421,-78.203921
14063,Electrify America,42.453787,-79.311176
11249,Tesla Destination,40.720475,-73.96265
11239,FLO,40.657441,-73.874619
12010,Greenlots,42.937775,-74.191592
14228,ChargePoint Network,42.998854,-78.787388
13420,Tesla Destination,43.758812,-74.859153
12932,Non-Networked,44.214426,-73.594677
11791,Non-Networked,40.809865,-73.507761
12309,ChargePoint Network,42.832993,-73.903854
12205,ChargePoint Network,42.714731,-73.814118
14036,EV Connect,43.002552,-78.407167
11222,Tesla Destination,40.736224,-73.959356
11219,ChargePoint Network,40.638583,-73.998687
13316,ChargePoint Network,43.504623,-75.70051
12054,ChargePoint Network,42.606495,-73.84793
11790,ChargePoint Network,40.910667,-73.119738
13210,ChargePoint Network,43.046318,-76.135216
11793,EV Connect,40.59679,-73.496049
11430,ChargePoint Network,40.645916,-73.779152
12866,ChargePoint Network,43.098187,-73.783673
10044,ChargePoint Network,40.764429,-73.946793
10314,ChargePoint Network,40.612706,-74.179076
14850,ChargePoint Network,42.448275,-76.503354
10065,Tesla Destination,40.767935,-73.96671
10940,ChargePoint Network,41.445744,-74.420798
12180,ChargePoint Network,42.75888,-73.60228
11022,ChargePoint Network,40.787424,-73.729999
11201,Tesla Destination,40.692919,-73.987193
14225,EV Connect,42.932126,-78.724004
10543,ChargePoint Network,40.949583,-73.735136
14559,Non-Networked,43.191311,-77.801933
12208,ChargePoint Network,42.654665,-73.80258
12946,ChargePoint Network,44.283149,-73.979463
14559,Non-Networked,43.191902,-77.799795
14572,EV Connect,42.555384,-77.589129
13350,Non-Networked,43.046018,-74.985338
12202,ChargePoint Network,42.63781,-73.75893
10005,Tesla Destination,40.705042,-74.008118
12010,ChargePoint Network,42.948433,-74.17904
14701,Non-Networked,42.115661,-79.253776
12474,Greenlots,42.284258,-74.565231
14203,ChargePoint Network,42.896262,-78.8685
12804,ChargePoint Network,43.295773,-73.67625
11964,ChargePoint Network,41.069794,-72.338548
11901,ChargePoint Network,40.919684,-72.712499
12804,ChargePoint Network,43.355225,-73.65409
10940,ChargePoint Network,41.441863,-74.366593
12804,ChargePoint Network,43.298496,-73.67694
12054,ChargePoint Network,42.599942,-73.839959
14203,ChargePoint Network,42.901754,-78.867332
12065,ChargePoint Network,42.869247,-73.772964
10019,Tesla Destination,40.764369,-73.982707
10013,Blink Network,40.719772,-74.010475
11971,EV Connect,41.052046,-72.43468
10468,FLO,40.875421,-73.893941
11201,Tesla Destination,40.696871,-73.983002
11755,Electrify America,40.862452,-73.128752
12866,ChargePoint Network,43.062261,-73.776128
10069,ChargePoint Network,40.7733,-73.991532
14580,EV Connect,43.227453,-77.422364
12186,EV Connect,42.654195,-74.017814
10520,ChargePoint Network,41.19167,-73.88247
12534,ChargePoint Network,42.24668,-73.77875
11106,Tesla Destination,40.762763,-73.924473
10014,Tesla Destination,40.735165,-74.007231
11217,Tesla Destination,40.68722,-73.981174
10468,EV Connect,40.863131,-73.900529
10467,FLO,40.879413,-73.875485
12047,ChargePoint Network,42.78053,-73.70403
12189,ChargePoint Network,42.732735,-73.72521
14621,ChargePoint Network,43.19745,-77.578415
12084,ChargePoint Network,42.697495,-73.890942
14604,ChargePoint Network,43.155268,-77.605377
12936,ChargePoint Network,44.30822,-73.37466
10024,Tesla Destination,40.78386,-73.980521
14513,ChargePoint Network,43.060982,-77.104497
12144,ChargePoint Network,42.612316,-73.727394
12845,LIVINGSTON,43.427358,-73.712852
10028,Blink Network,40.779829,-73.960581
11801,Volta,40.771828,-73.531142
11946,EV Connect,40.83754,-72.495432
12572,ChargePoint Network,41.9263,-73.909807
10021,Tesla Destination,40.773472,-73.95992
12211,ChargePoint Network,42.715714,-73.74955
10128,FLO,40.775792,-73.944015
14621,ChargePoint Network,43.191539,-77.588742
12308,EV Connect,42.820404,-73.935231
14618,ChargePoint Network,43.1206,-77.548985
10532,EV Connect,41.097414,-73.807592
10036,Tesla Destination,40.758503,-73.991285
14620,Tesla Destination,43.13755,-77.615609
11717,ChargePoint Network,40.77393,-73.240723
12401,ChargePoint Network,41.917121,-74.019023
12302,ChargePoint Network,42.851714,-73.946755
12302,ChargePoint Network,42.826458,-73.96361
12095,Non-Networked,43.025044,-74.358103
12159,ChargePoint Network,42.657453,-73.838373
12010,ChargePoint Network,42.960337,-74.172382
12538,ChargePoint Network,41.790836,-73.93644
12065,ChargePoint Network,42.868153,-73.781812
12701,Tesla Destination,41.617641,-74.702993
10069,Tesla Destination,40.778397,-73.987899
11201,Tesla Destination,40.692645,-73.985451
14127,ChargePoint Network,42.776591,-78.746236
12205,LIVINGSTON,42.716654,-73.818479
14513,ChargePoint Network,43.060887,-77.104487
11590,EV Connect,40.764764,-73.554076
